植物大战僵尸杂交版1.0.zip
Engine Name,Method,Category,Result
DeepInstinct,blacklist,malicious,MALICIOUS
Cybereason,blacklist,undetected,
Tencent,blacklist,undetected,
VirIT,blacklist,undetected,
ALYac,blacklist,malicious,Gen:Variant.Application.Jaik.154145
Alibaba,blacklist,undetected,
Rising,blacklist,malicious,Trojan.Generic@AI.100 (RDML:8myRva9aep+HrUMjJJCafA)
Zoner,blacklist,malicious,Probably Heur.ExeHeaderL
CrowdStrike,blacklist,undetected,
BitDefenderFalx,blacklist,type-unsupported,
Trustlook,blacklist,failure,
F-Secure,blacklist,undetected,
Paloalto,blacklist,type-unsupported,
CMC,blacklist,undetected,
K7AntiVirus,blacklist,malicious,Trojan ( 0052ab361 )
GData,blacklist,malicious,Win32.Riskware.Hacktool.D
Xcitium,blacklist,undetected,
Microsoft,blacklist,undetected,
Kingsoft,blacklist,undetected,
ClamAV,blacklist,undetected,
K7GW,blacklist,malicious,Trojan ( 0052ab361 )
Jiangmin,blacklist,undetected,
Symantec,blacklist,malicious,Trojan.Gen.NPE
ESET-NOD32,blacklist,malicious,multiple detections
Arcabit,blacklist,malicious,Trojan.Strictor.D46DF1 [many]
Google,blacklist,malicious,Detected
tehtris,blacklist,undetected,
Webroot,blacklist,type-unsupported,
Gridinsoft,blacklist,undetected,
NANO-Antivirus,blacklist,undetected,
Avira,blacklist,undetected,
Sophos,blacklist,malicious,Generic Reputation PUA (PUA)
Sangfor,blacklist,undetected,
McAfee,blacklist,malicious,Artemis!A5C66518258E
VIPRE,blacklist,malicious,Gen:Variant.Strictor.290289
TrendMicro,blacklist,malicious,TROJ_GEN.R002C0PBL23
TrendMicro-HouseCall,blacklist,malicious,TROJ_GEN.R002H09ER24
Cynet,blacklist,undetected,
BitDefenderTheta,blacklist,malicious,Gen:NN.ZexaF.36806.@N3@aKpDrigi
Panda,blacklist,undetected,
CAT-QuickHeal,blacklist,undetected,
AVG,blacklist,malicious,Win32:Evo-gen [Trj]
Baidu,blacklist,undetected,
DrWeb,blacklist,undetected,
Skyhigh,blacklist,malicious,GenericRXVL-AB!971B37CEDF68
MicroWorld-eScan,blacklist,undetected,
AhnLab-V3,blacklist,malicious,Trojan/Win.Generic.R417051
McAfeeD,blacklist,type-unsupported,
Emsisoft,blacklist,malicious,Gen:Variant.Strictor.290289 (B)
APEX,blacklist,type-unsupported,
SymantecMobileInsight,blacklist,type-unsupported,
Cylance,blacklist,type-unsupported,
Bkav,blacklist,failure,
Avast-Mobile,blacklist,undetected,
MAX,blacklist,malicious,malware (ai score=79)
Avast,blacklist,malicious,Win32:Evo-gen [Trj]
Kaspersky,blacklist,undetected,
SUPERAntiSpyware,blacklist,undetected,
Elastic,blacklist,malicious,malicious (high confidence)
Zillya,blacklist,undetected,
ZoneAlarm,blacklist,undetected,
alibabacloud,blacklist,malicious,HackTool:Win/CheatEngine.AF
Acronis,blacklist,undetected,
Malwarebytes,blacklist,undetected,
MaxSecure,blacklist,undetected,
ViRobot,blacklist,undetected,
Trapmine,blacklist,type-unsupported,
FireEye,blacklist,malicious,Gen:Variant.Strictor.290289
TACHYON,blacklist,undetected,
Varist,blacklist,malicious,W32/ABRisk.QHDZ-3083
VBA32,blacklist,malicious,Trojan.GuLoader
Ikarus,blacklist,malicious,Trojan.Win32.Enigma
SentinelOne,blacklist,malicious,Static AI - Malicious Archive
Yandex,blacklist,malicious,Trojan.GenAsa!Y/bBBmOSHls
Lionic,blacklist,malicious,Trojan.ZIP.Generic.4!c
Fortinet,blacklist,malicious,Riskware/Application
BitDefender,blacklist,malicious,Gen:Variant.Strictor.290289
Antiy-AVL,blacklist,malicious,HackTool[Hoax]/Win32.CheatEngine.a
