file
Engine Name,Method,Category,Result
DeepInstinct,blacklist,type-unsupported,
Cybereason,blacklist,undetected,
Tencent,blacklist,undetected,
VirIT,blacklist,undetected,
ALYac,blacklist,undetected,
Alibaba,blacklist,type-unsupported,
Rising,blacklist,undetected,
Zoner,blacklist,undetected,
CrowdStrike,blacklist,undetected,
BitDefenderFalx,blacklist,type-unsupported,
Trustlook,blacklist,type-unsupported,
F-Secure,blacklist,undetected,
Paloalto,blacklist,type-unsupported,
CMC,blacklist,undetected,
K7AntiVirus,blacklist,undetected,
GData,blacklist,undetected,
Xcitium,blacklist,undetected,
Microsoft,blacklist,undetected,
Kingsoft,blacklist,undetected,
K7GW,blacklist,undetected,
ClamAV,blacklist,undetected,
Jiangmin,blacklist,undetected,
Symantec,blacklist,undetected,
ESET-NOD32,blacklist,undetected,
Arcabit,blacklist,undetected,
tehtris,blacklist,undetected,
Webroot,blacklist,type-unsupported,
Gridinsoft,blacklist,undetected,
NANO-Antivirus,blacklist,undetected,
Avira,blacklist,undetected,
Sophos,blacklist,undetected,
Sangfor,blacklist,undetected,
McAfee,blacklist,undetected,
VIPRE,blacklist,undetected,
TrendMicro,blacklist,undetected,
TrendMicro-HouseCall,blacklist,undetected,
Cynet,blacklist,undetected,
BitDefenderTheta,blacklist,undetected,
Panda,blacklist,undetected,
CAT-QuickHeal,blacklist,undetected,
AVG,blacklist,undetected,
Baidu,blacklist,undetected,
DrWeb,blacklist,undetected,
Skyhigh,blacklist,undetected,
MicroWorld-eScan,blacklist,undetected,
AhnLab-V3,blacklist,undetected,
McAfeeD,blacklist,type-unsupported,
Emsisoft,blacklist,undetected,
APEX,blacklist,type-unsupported,
Cylance,blacklist,undetected,
SymantecMobileInsight,blacklist,type-unsupported,
Bkav,blacklist,undetected,
MAX,blacklist,undetected,
Avast-Mobile,blacklist,type-unsupported,
Avast,blacklist,undetected,
Kaspersky,blacklist,undetected,
SUPERAntiSpyware,blacklist,undetected,
Elastic,blacklist,type-unsupported,
Zillya,blacklist,undetected,
ZoneAlarm,blacklist,undetected,
alibabacloud,blacklist,undetected,
Acronis,blacklist,undetected,
Malwarebytes,blacklist,undetected,
MaxSecure,blacklist,undetected,
ViRobot,blacklist,undetected,
Trapmine,blacklist,type-unsupported,
FireEye,blacklist,undetected,
Varist,blacklist,undetected,
TACHYON,blacklist,undetected,
VBA32,blacklist,undetected,
Ikarus,blacklist,undetected,
SentinelOne,blacklist,undetected,
Yandex,blacklist,undetected,
Lionic,blacklist,undetected,
Fortinet,blacklist,undetected,
BitDefender,blacklist,undetected,
Antiy-AVL,blacklist,undetected,
